Run,Host,geo_loc_name_country
SRR7131025,Human,Italy
SRR7131117,Human,Italy
SRR9850824,Capybara,Brazil
SRR10993932,Cattle,Nigeria
SRR10993933,Cattle,Nigeria
SRR10993934,Cattle,Nigeria
SRR10993935,Cattle,Nigeria
SRR10993936,Cattle,Nigeria
SRR10993937,Cattle,Nigeria
SRR10993938,Cattle,Nigeria
SRR10993939,Cattle,Nigeria
SRR10993940,Cattle,Nigeria
SRR10993941,Cattle,Nigeria
SRR10993942,Cattle,Nigeria
SRR10993943,Cattle,Nigeria
SRR10993944,Cattle,Nigeria
SRR10993945,Cattle,Nigeria
SRR10993946,Cattle,Nigeria
SRR10993947,Cattle,Nigeria
SRR10993948,Cattle,Nigeria
SRR10993949,Cattle,Nigeria
SRR10993950,Cattle,Nigeria
SRR10993951,Cattle,Nigeria
SRR10993952,Cattle,Nigeria
SRR10993953,Cattle,Nigeria
SRR10993954,Cattle,Nigeria
SRR10993955,Cattle,Nigeria
SRR10993956,Cattle,Nigeria
SRR10993957,Cattle,Nigeria
SRR6865435,Llama,Brazil
SRR6930897,Human,USA
SRR9593168,Human,Russia
SRR9593169,Human,Russia
SRR9593170,Human,Russia
SRR9593171,Human,Russia
SRR9593172,Human,Russia
SRR9593173,Human,Russia
SRR9593174,Human,Russia
SRR9593175,Human,Russia
SRR9593177,Human,Russia
SRR8599991,Cattle,United Kingdom
SRR8599992,Cattle,United Kingdom
SRR8599993,Cattle,United Kingdom
SRR8599994,Cattle,United Kingdom
SRR8599995,Cattle,United Kingdom
SRR8599996,Cattle,United Kingdom
SRR8599997,Cattle,United Kingdom
SRR8599998,Badger,United Kingdom
SRR8599999,Badger,United Kingdom
SRR8600000,Badger,United Kingdom
SRR8600001,Badger,United Kingdom
SRR8600002,Badger,United Kingdom
SRR8600003,Badger,United Kingdom
SRR8600004,Badger,United Kingdom
SRR8600005,Badger,United Kingdom
SRR8600006,Badger,United Kingdom
SRR8600007,Badger,United Kingdom
SRR8600008,Cattle,United Kingdom
SRR8600009,Cattle,United Kingdom
SRR8600010,Badger,United Kingdom
SRR8600011,Badger,United Kingdom
SRR8600012,Badger,United Kingdom
SRR8600013,Badger,United Kingdom
SRR8600014,Badger,United Kingdom
SRR8600015,Cattle,United Kingdom
SRR8600016,Badger,United Kingdom
SRR8600017,Badger,United Kingdom
SRR8600018,Badger,United Kingdom
SRR8600019,Badger,United Kingdom
SRR8600020,Cattle,United Kingdom
SRR8600021,Cattle,United Kingdom
SRR8600022,Cattle,United Kingdom
SRR8600023,Cattle,United Kingdom
SRR8600024,Cattle,United Kingdom
SRR8600025,Cattle,United Kingdom
SRR8600026,Badger,United Kingdom
SRR8600027,Badger,United Kingdom
SRR8600028,Badger,United Kingdom
SRR8600029,Badger,United Kingdom
SRR8600030,Badger,United Kingdom
SRR8600031,Badger,United Kingdom
SRR8600032,Badger,United Kingdom
SRR8600033,Badger,United Kingdom
SRR8600034,Badger,United Kingdom
SRR8600035,Badger,United Kingdom
SRR8600036,Cattle,United Kingdom
SRR8600037,Cattle,United Kingdom
SRR8600038,Badger,United Kingdom
SRR8600039,Cattle,United Kingdom
SRR8600040,Cattle,United Kingdom
SRR8600041,Cattle,United Kingdom
SRR8600042,Cattle,United Kingdom
SRR8600043,Cattle,United Kingdom
SRR8600044,Cattle,United Kingdom
SRR8600045,Cattle,United Kingdom
SRR8600046,Cattle,United Kingdom
SRR8600047,Cattle,United Kingdom
SRR8600048,Cattle,United Kingdom
SRR8600049,Cattle,United Kingdom
SRR8600050,Cattle,United Kingdom
SRR8600051,Badger,United Kingdom
SRR8600052,Badger,United Kingdom
SRR8600053,Badger,United Kingdom
SRR8600054,Badger,United Kingdom
SRR8600055,Badger,United Kingdom
SRR8600056,Badger,United Kingdom
SRR8600057,Badger,United Kingdom
SRR8600058,Badger,United Kingdom
SRR8600059,Badger,United Kingdom
SRR8600060,Badger,United Kingdom
SRR8600061,Badger,United Kingdom
SRR8600062,Badger,United Kingdom
SRR8600063,Badger,United Kingdom
SRR8600064,Cattle,United Kingdom
SRR8600065,Cattle,United Kingdom
SRR8600066,Cattle,United Kingdom
SRR8600067,Cattle,United Kingdom
SRR8600068,Cattle,United Kingdom
SRR8600069,Cattle,United Kingdom
SRR8600070,Cattle,United Kingdom
SRR8600071,Cattle,United Kingdom
SRR8600072,Cattle,United Kingdom
SRR8600073,Cattle,United Kingdom
SRR8600074,Badger,United Kingdom
SRR8600075,Badger,United Kingdom
SRR8600076,Badger,United Kingdom
SRR8600077,Badger,United Kingdom
SRR8600078,Badger,United Kingdom
SRR8600079,Badger,United Kingdom
SRR8600080,Badger,United Kingdom
SRR8600081,Badger,United Kingdom
SRR8600082,Badger,United Kingdom
SRR8600083,Badger,United Kingdom
SRR8600084,Badger,United Kingdom
SRR8600085,Badger,United Kingdom
SRR8600086,Badger,United Kingdom
SRR8600087,Badger,United Kingdom
SRR8600088,Badger,United Kingdom
SRR8600089,Badger,United Kingdom
SRR8600090,Badger,United Kingdom
SRR8600091,Badger,United Kingdom
SRR8600092,Badger,United Kingdom
SRR8600093,Badger,United Kingdom
SRR8600094,Badger,United Kingdom
SRR8600095,Badger,United Kingdom
SRR8600096,Badger,United Kingdom
SRR8600097,Badger,United Kingdom
SRR8600098,Badger,United Kingdom
SRR8600099,Badger,United Kingdom
SRR8600100,Cattle,United Kingdom
SRR8600101,Cattle,United Kingdom
SRR8600102,Cattle,United Kingdom
SRR8600103,Cattle,United Kingdom
SRR8600104,Cattle,United Kingdom
SRR8600105,Cattle,United Kingdom
SRR8600106,Cattle,United Kingdom
SRR8600107,Cattle,United Kingdom
SRR8600108,Cattle,United Kingdom
SRR8600109,Cattle,United Kingdom
SRR8600110,Cattle,United Kingdom
SRR8600111,Cattle,United Kingdom
SRR8600112,Cattle,United Kingdom
SRR8600113,Cattle,United Kingdom
SRR8600114,Badger,United Kingdom
SRR8600115,Badger,United Kingdom
SRR8600116,Cattle,United Kingdom
SRR8600117,Cattle,United Kingdom
SRR8600118,Cattle,United Kingdom
SRR8600119,Cattle,United Kingdom
SRR8600120,Cattle,United Kingdom
SRR8600121,Cattle,United Kingdom
SRR8600122,Cattle,United Kingdom
SRR8600123,Cattle,United Kingdom
SRR8600124,Cattle,United Kingdom
SRR8600125,Cattle,United Kingdom
SRR8600126,Cattle,United Kingdom
SRR8600127,Cattle,United Kingdom
SRR8600128,Cattle,United Kingdom
SRR8600129,Cattle,United Kingdom
SRR8600130,Cattle,United Kingdom
SRR8600131,Cattle,United Kingdom
SRR8600132,Cattle,United Kingdom
SRR8600133,Badger,United Kingdom
SRR8600134,Badger,United Kingdom
SRR8600135,Badger,United Kingdom
SRR8600136,Badger,United Kingdom
SRR8600137,Badger,United Kingdom
SRR8600138,Badger,United Kingdom
SRR8600139,Badger,United Kingdom
SRR8600140,Badger,United Kingdom
SRR8600141,Badger,United Kingdom
SRR8600142,Badger,United Kingdom
SRR8600143,Cattle,United Kingdom
SRR8600144,Cattle,United Kingdom
SRR8600145,Cattle,United Kingdom
SRR8600146,Cattle,United Kingdom
SRR8600147,Cattle,United Kingdom
SRR8600148,Cattle,United Kingdom
SRR8600149,Cattle,United Kingdom
SRR8600150,Cattle,United Kingdom
SRR8600151,Cattle,United Kingdom
SRR8600152,Cattle,United Kingdom
SRR8600153,Badger,United Kingdom
SRR8600154,Badger,United Kingdom
SRR8600155,Badger,United Kingdom
SRR8600156,Badger,United Kingdom
SRR8600157,Badger,United Kingdom
SRR8600158,Badger,United Kingdom
SRR8600159,Badger,United Kingdom
SRR8600160,Badger,United Kingdom
SRR8600161,Badger,United Kingdom
SRR8600162,Badger,United Kingdom
SRR8600163,Badger,United Kingdom
SRR8600164,Badger,United Kingdom
SRR8600165,Badger,United Kingdom
SRR8600166,Badger,United Kingdom
SRR8600167,Badger,United Kingdom
SRR8600168,Badger,United Kingdom
SRR8600169,Badger,United Kingdom
SRR8600170,Badger,United Kingdom
SRR8600171,Badger,United Kingdom
SRR8600172,Badger,United Kingdom
SRR8600173,Badger,United Kingdom
SRR8600174,Badger,United Kingdom
SRR8600175,Badger,United Kingdom
SRR8600176,Badger,United Kingdom
SRR8600177,Badger,United Kingdom
SRR8600178,Badger,United Kingdom
SRR8600179,Badger,United Kingdom
SRR8600180,Badger,United Kingdom
SRR8600181,Badger,United Kingdom
SRR8600182,Badger,United Kingdom
SRR8600183,Badger,United Kingdom
SRR8600184,Badger,United Kingdom
SRR8600185,Badger,United Kingdom
SRR8600186,Badger,United Kingdom
SRR8600187,Badger,United Kingdom
SRR8600188,Badger,United Kingdom
SRR8600189,Badger,United Kingdom
SRR8600190,Badger,United Kingdom
SRR8600191,Badger,United Kingdom
SRR8600192,Badger,United Kingdom
SRR8600193,Badger,United Kingdom
SRR8600194,Badger,United Kingdom
SRR8600195,Badger,United Kingdom
SRR8600196,Cattle,United Kingdom
SRR8600197,Cattle,United Kingdom
SRR8600198,Cattle,United Kingdom
SRR8600199,Cattle,United Kingdom
SRR8600200,Cattle,United Kingdom
SRR8600201,Cattle,United Kingdom
SRR8600202,Cattle,United Kingdom
SRR8600203,Cattle,United Kingdom
SRR8600204,Cattle,United Kingdom
SRR8600205,Cattle,United Kingdom
SRR8600206,Cattle,United Kingdom
SRR8600207,Cattle,United Kingdom
SRR8600208,Cattle,United Kingdom
SRR8600209,Cattle,United Kingdom
SRR8600210,Cattle,United Kingdom
SRR8600211,Cattle,United Kingdom
SRR8600212,Cattle,United Kingdom
SRR8600213,Cattle,United Kingdom
SRR8600214,Cattle,United Kingdom
SRR8600215,Cattle,United Kingdom
SRR8600216,Badger,United Kingdom
SRR8600217,Badger,United Kingdom
SRR8600218,Badger,United Kingdom
SRR8600219,Badger,United Kingdom
SRR8600220,Badger,United Kingdom
SRR8600221,Badger,United Kingdom
SRR8600222,Badger,United Kingdom
SRR8600223,Badger,United Kingdom
SRR8600224,Badger,United Kingdom
SRR8600225,Badger,United Kingdom
SRR8600226,Badger,United Kingdom
SRR8600227,Cattle,United Kingdom
SRR8600228,Cattle,United Kingdom
SRR8600229,Cattle,United Kingdom
SRR8600230,Cattle,United Kingdom
SRR8600231,Cattle,United Kingdom
SRR8600232,Cattle,United Kingdom
SRR8600233,Badger,United Kingdom
SRR8600234,Badger,United Kingdom
SRR8600235,Badger,United Kingdom
SRR8600236,Badger,United Kingdom
SRR8600237,Badger,United Kingdom
SRR8600238,Badger,United Kingdom
SRR8600239,Badger,United Kingdom
SRR8600240,Badger,United Kingdom
SRR8600241,Cattle,United Kingdom
SRR8600242,Cattle,United Kingdom
SRR8600243,Cattle,United Kingdom
SRR8600244,Cattle,United Kingdom
SRR8600245,Cattle,United Kingdom
SRR8600246,Cattle,United Kingdom
SRR8600247,Cattle,United Kingdom
SRR8600248,Cattle,United Kingdom
SRR8600249,Cattle,United Kingdom
SRR8600250,Cattle,United Kingdom
SRR8600251,Cattle,United Kingdom
SRR8600252,Cattle,United Kingdom
SRR8600253,Cattle,United Kingdom
SRR8600254,Cattle,United Kingdom
SRR8600255,Cattle,United Kingdom
SRR8600256,Badger,United Kingdom
SRR8600257,Cattle,United Kingdom
SRR8600258,Badger,United Kingdom
SRR8600259,Badger,United Kingdom
SRR8600260,Badger,United Kingdom
SRR8600261,Badger,United Kingdom
SRR8600262,Cattle,United Kingdom
SRR8600263,Badger,United Kingdom
SRR8600264,Badger,United Kingdom
SRR8600265,Badger,United Kingdom
SRR8600266,Cattle,United Kingdom
SRR8600267,Badger,United Kingdom
SRR8600268,Badger,United Kingdom
SRR8600269,Badger,United Kingdom
SRR8600270,Badger,United Kingdom
SRR8600271,Badger,United Kingdom
SRR8600272,Badger,United Kingdom
SRR8600273,Badger,United Kingdom
SRR8600274,Badger,United Kingdom
SRR8600275,Badger,United Kingdom
SRR8600276,Cattle,United Kingdom
SRR8600277,Cattle,United Kingdom
SRR8600278,Cattle,United Kingdom
SRR8600279,Cattle,United Kingdom
SRR8600280,Cattle,United Kingdom
SRR8600281,Cattle,United Kingdom
SRR8600282,Badger,United Kingdom
SRR8600283,Badger,United Kingdom
SRR8600284,Cattle,United Kingdom
SRR8600285,Cattle,United Kingdom
SRR8600286,Badger,United Kingdom
SRR8600287,Cattle,United Kingdom
SRR8600288,Cattle,United Kingdom
SRR8600289,Cattle,United Kingdom
SRR8600290,Cattle,United Kingdom
